Keywords,Tags,Volume,2025-08-15,2025-08-01,2025-07-26,2025-07-15,2025-07-01,2025-06-26,2025-06-15,2025-06-01,2025-05-26,2025-05-15,2025-05-01,2025-04-26,2025-04-15,2025-04-01,2025-03-26,2025-03-15,2025-03-01,2025-02-26,2025-02-15,2025-02-01,2025-01-26,2025-01-15,2025-01-01,2024-12-26,2024-12-15,2024-12-01,2024-11-26,2024-11-15,2024-11-08,2024-11-01,2024-10-26,2024-10-21,2024-08-01,2024-07-26,2024-07-15,2024-07-08,2024-07-01,2024-06-26,2024-06-15,2024-06-04,2024-06-01,2024-05-26,2024-05-23,2024-05-15,2024-05-01,2024-04-26,2024-04-15,2024-04-09,2024-04-01,2024-03-26,2024-03-15,2024-03-14,2024-03-07,2024-03-01,2024-02-01,2024-01-23,2024-01-16,2024-01-12,2024-01-11,2024-01-10,2024-01-02,2024-01-01,2023-12-01,2023-11-30,2023-11-15,2023-11-13,2023-11-10,2023-11-01,2023-10-01,2023-09-01,2023-08-14,2023-08-01,2023-07-27,2023-07-18,URL in SERP,Expected URL
electronics storage cabinet,desiccator,140,-,-,-,34,34,-,48,37,39,32,45,37,28,38,45,46,50,57,46,49,44,49,62,92,87,96,96,84,74,81,73,93,61,53,61,84,78,85,82,n/a,90,92,n/a,89,-,87,81,77,80,83,85,n/a,n/a,83,84,n/a,n/a,n/a,n/a,n/a,72,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
electronics storage cabinets,desiccator,140,62,89,63,69,66,69,61,55,67,40,64,44,56,46,46,52,49,54,39,51,41,48,52,55,54,60,70,84,67,65,71,68,64,52,74,78,77,66,65,n/a,80,80,n/a,43,92,91,79,97,80,84,88,n/a,n/a,84,74,n/a,n/a,n/a,n/a,n/a,69,66,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/specialty-desiccator-cabinets.php,
electropolished 304 tables,"tables-and-workbenches, low-volume-desktop",0,2,2,2,1,7,5,6,4,3,3,7,9,7,8,9,5,6,4,6,3,3,3,3,5,4,3,7,5,3,4,3,5,1,2,2,2,2,2,2,n/a,2,3,n/a,2,3,3,3,3,4,4,4,n/a,n/a,4,4,n/a,n/a,n/a,n/a,n/a,6,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/vibration-free-table-63600-series-electropolished-stainless-steel-solid-top-560681.html,
electropolished clean room tables,tables-and-workbenches,10,3,8,6,8,4,15,7,8,16,8,18,7,13,5,6,3,7,10,13,4,9,8,5,6,8,6,7,7,7,7,9,10,8,9,18,13,16,16,13,n/a,15,13,n/a,16,20,14,16,15,15,15,18,n/a,n/a,13,15,n/a,n/a,n/a,n/a,n/a,16,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/stainless-steel-cleanroom-work-stations-biosafe-solid-top.html,
electropolished cleanroom tables,tables-and-workbenches,10,6,3,9,6,10,9,8,10,8,9,8,8,12,12,11,12,12,10,8,9,8,8,6,6,10,9,9,8,13,9,26,26,30,33,33,34,38,37,40,n/a,37,38,n/a,24,37,33,37,33,33,35,31,n/a,n/a,35,33,n/a,n/a,n/a,n/a,n/a,27,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/stainless-steel-cleanroom-work-stations-biosafe-solid-top.html,
electropolished solid top cleanroom table,"tables-and-workbenches, low-volume-desktop",0,1,1,1,1,2,2,3,3,3,2,3,3,6,5,5,4,4,4,3,4,4,4,4,4,4,3,4,3,4,6,5,6,4,7,9,8,27,8,10,n/a,8,-,n/a,34,23,11,8,31,36,33,22,n/a,n/a,32,33,n/a,n/a,n/a,n/a,n/a,23,31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/vibration-free-table-63600-series-electropolished-stainless-steel-solid-top-560681.html,
electropolished ss cleanroom tables,"tables-and-workbenches, low-volume-desktop",0,4,8,4,3,4,5,6,7,7,8,7,7,9,5,5,6,7,9,5,6,6,8,6,6,10,6,7,7,12,11,25,24,34,29,35,28,6,6,43,n/a,14,39,n/a,35,35,15,36,10,15,39,11,n/a,n/a,12,11,n/a,n/a,n/a,n/a,n/a,23,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/vibration-free-table-63600-series-electropolished-stainless-steel-solid-top-560681.html,
electropolished stainless steel table,tables-and-workbenches,10,1,1,2,1,2,2,5,3,2,2,5,5,7,5,4,4,3,4,4,5,4,3,3,4,4,3,3,6,4,2,2,5,2,2,3,3,3,3,3,n/a,4,5,n/a,6,6,6,4,5,5,5,6,n/a,n/a,8,15,n/a,n/a,n/a,n/a,n/a,9,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/vibration-free-table-63600-series-electropolished-stainless-steel-solid-top-560681.html,
enclosure explosion proof,cleanroom,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
enclosures explosion proof,cleanroom,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
environmental control clean rooms,"cleanroom-controls, low-volume-desktop",0,-,51,62,-,-,-,88,-,-,93,88,-,-,70,83,77,65,73,68,68,88,62,71,82,82,92,82,76,81,-,90,96,95,92,86,98,89,91,-,n/a,-,-,n/a,-,98,97,69,78,82,89,91,n/a,n/a,82,-,n/a,n/a,n/a,n/a,86,77,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
exhaust enclosure terra universal,"low-volume-desktop, cleanroom",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,1,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/exhaust-fume-hoods.html,
exhaust fan explosion proof,ffu-filters-blowers,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,66,n/a,n/a,n/a,n/a,76,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof blower,ffu-filters-blowers,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,69,28,84,69,35,-,34,23,20,40,41,74,88,68,68,69,n/a,25,24,n/a,40,53,72,66,74,-,33,38,n/a,n/a,58,43,n/a,n/a,n/a,n/a,n/a,43,55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof blowers,ffu-filters-blowers,90,61,71,35,78,65,-,98,71,76,62,66,72,70,84,81,75,-,90,77,60,83,30,28,67,83,50,45,-,-,-,-,-,-,-,-,-,-,83,-,n/a,-,-,n/a,-,88,94,-,-,97,-,97,n/a,n/a,-,59,n/a,n/a,n/a,n/a,n/a,86,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/blower-for-labconco-fume-hoods-explosion-proof-coated-steel-labconco-9082-21.html,
explosion proof enclosure,cleanroom,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof enclosure classification,cleanroom,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof enclosure with window,cleanroom,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof enclosures,cleanroom,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof enclosures manufacturers,cleanroom,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof enclosures suppliers,cleanroom,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof exhaust blower,ffu-filters-blowers,1000,-,53,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,23,22,24,30,26,27,26,-,-,-,-,-,-,-,-,-,-,29,-,n/a,34,48,n/a,65,68,70,63,67,70,69,62,n/a,n/a,55,-,n/a,n/a,n/a,n/a,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof exhaust fan,ffu-filters-blowers,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,66,n/a,n/a,n/a,n/a,58,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof exhaust fans,ffu-filters-blowers,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof fan,ffu-filters-blowers,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,53,58,65,68,72,57,67,76,63,81,84,33,22,80,n/a,95,87,n/a,97,38,40,89,92,62,99,91,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof fans,ffu-filters-blowers,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,83,-,-,79,67,81,-,-,73,82,88,-,-,58,62,-,n/a,-,-,n/a,81,90,74,93,-,92,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,78,79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof fume extractor,hoods-fume,10,1,1,1,1,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,4,27,27,8,6,7,7,7,5,7,5,3,3,4,4,4,5,4,n/a,3,4,n/a,3,3,3,7,7,8,7,5,n/a,n/a,4,5,n/a,n/a,n/a,n/a,n/a,6,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/explosion-proof-hoods.php,
explosion proof fume hood,hoods-fume,30,2,2,2,1,1,2,3,3,3,2,2,2,3,3,3,2,2,1,3,2,2,2,2,4,4,3,3,3,4,5,2,2,2,2,4,4,4,4,4,n/a,2,5,n/a,2,3,3,3,3,4,4,4,n/a,n/a,6,5,n/a,n/a,n/a,n/a,n/a,5,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/explosion-proof-hoods.php,
explosion proof led light fixtures,cleanroom-lights-ceilings,590,45,42,36,48,43,46,-,48,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,48,46,-,46,-,56,-,-,-,-,n/a,-,-,n/a,-,-,-,75,75,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/light-led-explosion-proof-3800-46.html,
explosion proof led lighting,cleanroom-lights-ceilings,590,-,35,-,53,34,-,-,41,39,-,-,-,-,34,39,-,-,-,-,-,-,-,-,66,-,-,50,-,-,25,31,-,-,29,41,-,-,46,-,n/a,81,72,n/a,46,57,-,-,-,65,61,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof led lights,cleanroom-lights-ceilings,590,-,38,34,32,28,30,30,-,28,31,-,30,-,29,38,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,45,21,-,-,92,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,81,79,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof lighting,cleanroom-lights-ceilings,1900,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,41,52,-,-,94,-,-,69,83,n/a,-,-,n/a,71,65,75,75,80,78,76,68,n/a,n/a,-,63,n/a,n/a,n/a,n/a,n/a,59,57,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof lights,cleanroom-lights-ceilings,1900,-,6,6,-,-,32,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,28,23,57,23,79,-,65,84,-,79,88,n/a,77,52,n/a,94,76,67,69,75,74,76,65,n/a,n/a,34,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof vent fan,ffu-filters-blowers,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,-,-,-,-,-,-,-,-,-,-,-,-,-,77,78,91,-,-,-,-,n/a,90,79,n/a,92,89,-,-,-,-,-,-,n/a,n/a,67,73,n/a,n/a,n/a,n/a,n/a,78,60,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion proof window enclosure,"low-volume-desktop, cleanroom",0,-,81,-,-,-,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion-proof enclosure,cleanroom,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
explosion-proof exhaust fan,ffu-filters-blowers,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,-,-,n/a,-,-,-,-,-,-,-,84,n/a,n/a,-,72,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
fan explosion proof,ffu-filters-blowers,90,36,-,31,-,-,50,-,-,-,-,-,-,-,-,-,-,-,93,-,-,-,-,-,-,-,-,-,43,93,-,76,88,38,85,98,86,53,51,77,n/a,96,96,n/a,-,17,20,91,94,-,94,-,n/a,n/a,-,-,n/a,n/a,n/a,n/a,n/a,64,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/explosion-proof-fan-filter-units-class-i-division-1.html,
fan filter hepa units,ffu-filters-blowers,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,3,1,n/a,2,2,2,2,2,2,2,2,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fan filter unit,ffu-filters-blowers,720,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,n/a,2,2,n/a,1,1,1,2,2,2,2,2,n/a,n/a,-,1,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fan filter unit for clean room,ffu-filters-blowers,170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fan filter unit hepa,ffu-filters-blowers,260,2,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,n/a,4,1,n/a,3,2,2,3,3,3,3,3,n/a,n/a,3,2,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fan filter unit price,ffu-filters-blowers,110,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,8,8,7,6,6,4,4,5,5,6,7,7,5,4,2,3,2,3,4,3,4,4,n/a,3,2,n/a,2,2,2,4,2,2,3,3,n/a,n/a,3,4,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fan filter units,ffu-filters-blowers,720,1,1,1,1,1,2,2,1,2,1,1,1,3,1,1,2,2,3,2,3,3,1,1,1,2,1,2,3,2,2,1,3,1,1,1,2,3,3,2,n/a,3,3,n/a,3,3,3,2,2,3,3,3,n/a,n/a,3,3,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fan filter units clean rooms,ffu-filters-blowers,170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,n/a,2,2,n/a,1,1,2,1,1,2,2,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fan filter units hepa,ffu-filters-blowers,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,n/a,3,3,n/a,9,3,2,2,3,3,4,3,n/a,n/a,3,2,n/a,n/a,n/a,n/a,n/a,3,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fda clean room designers,cleanroom-design,10,25,21,17,4,8,5,9,5,7,5,26,4,15,8,17,7,5,8,7,7,10,43,10,9,11,47,39,6,8,12,11,9,63,46,51,49,14,-,13,n/a,49,46,n/a,-,-,51,50,46,45,42,42,n/a,n/a,47,61,n/a,n/a,n/a,n/a,n/a,74,56,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/usp-compounding-cleanrooms.php,
federal standard 209e cleanroom construction,"low-volume-desktop, cleanroom",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,2,2,2,2,2,1,1,n/a,1,1,n/a,1,1,2,1,1,1,2,2,n/a,n/a,2,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/media/asset-library/i/s/iso_cleanroom_standards_and_federal_standard_209e.pdf,
ffu,ffu-filters-blowers,1300,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,53,2,1,2,1,2,2,3,2,2,2,2,n/a,2,2,n/a,2,3,3,2,2,2,2,2,n/a,n/a,4,2,n/a,n/a,n/a,n/a,n/a,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
ffu clean room,ffu-filters-blowers,170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
ffu fan filter unit,ffu-filters-blowers,720,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,2,1,2,2,2,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
ffu hepa,ffu-filters-blowers,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
ffu unit,ffu-filters-blowers,40,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,2,1,3,n/a,2,1,n/a,3,3,3,1,1,3,2,1,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
filter fan unit,ffu-filters-blowers,720,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,n/a,2,2,n/a,2,2,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
filter fan unit hepa,ffu-filters-blowers,260,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,2,1,1,1,1,1,1,1,1,n/a,3,1,n/a,1,1,2,2,1,1,2,2,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fan-filter-units.php,
fire rated pass through,passthroughs,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/fire-rated-pass-through-chamber.php,
fire rated pass through window,passthroughs,30,1,1,1,1,2,4,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,2,3,1,2,3,2,3,3,4,2,4,3,3,3,3,n/a,3,3,n/a,4,3,3,3,3,3,2,2,n/a,n/a,3,4,n/a,n/a,n/a,n/a,n/a,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/pass-through-windows.php,
